Date Added to Catalog	PUBMEDID	First Author	Date	Journal	Link	Study	Disease/Trait	Initial Sample Description	Replication Sample Description	Region	Chr_id	Chr_pos	Reported Gene(s)	Mapped_gene	Upstream_gene_id	Downstream_gene_id	Snp_gene_ids	Upstream_gene_distance	Downstream_gene_distance	Strongest SNP-Risk Allele	SNPs	Merged	Snp_id_current	Context	Intergenic	Risk Allele Frequency	p-Value	Pvalue_mlog	p-Value (text)	OR or beta	95% CI (text)	Platform [SNPs passing QC]	CNV
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	19q13.33	19	49727070	CTB-33G10.1	RPS9P4 - TSKS	388556	60385		        6.93	       12.68	rs8102150-?	rs8102150	0	8102150	Intergenic	1	0.028	7E-7	6.154901959985743	(S-DCT concentration, adjusted for CYP2C19)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	22q13.2	22	41996807	SEPT, CYP2D6, LOC100132273, LOC388906	SEPT3;WBP2NL;LOC102723706			55964;164684;102723706			rs1058172-?	rs1062753	0	1062753	intron;nearGene-5;intron	0	0.155	2E-16	15.69897000433602	(S-DDCT concentration)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	22q13.2	22	42127526	SEPT, CYP2D6, LOC100132273, LOC388906	CYP2D6;LOC102723722			1565;102723722			rs1058172-?	rs1058172	0	1058172	missense;intron	0	0.155	8E-16	15.09691001300805	(S-DDCT/S-DCT ratio)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	22q13.2	22	42130692	CYP2D6*4, CYP2D6*10, CYP2D6*14	CYP2D6;LOC102723722			1565;102723722			rs1065852-?	rs1065852	0	1065852	missense;intron	0	0.215	2E-16	15.69897000433602	(S-DDCT concentration)	NR	NR	Illumina [7,537,437] (Imputed)	N
10/22/2014	24528284	Ji Y	08/01/2014	Br J Clin Pharmacol	http://www.ncbi.nlm.nih.gov/pubmed/24528284	Citalopram and escitalopram plasma drug and metabolite concentrations: genome-wide associations.	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	300 European ancestry Escitalpram treated individuals, 130 European ancestry Citalopram treated individuals	NA	22q13.2	22	42130692	CYP2D6*4, CYP2D6*10, CYP2D6*14	CYP2D6;LOC102723722			1565;102723722			rs1065852-?	rs1065852	0	1065852	missense;intron	0	0.215	8E-16	15.09691001300805	(S-DDCT/S-DCT ratio)	NR	NR	Illumina [7,537,437] (Imputed)	N
02/03/2015	25008200	Feng P	07/09/2014	BMC Oral Health	www.ncbi.nlm.nih.gov/pubmed/25008200	Genome wide association scan for chronic periodontitis implicates novel locus.	Chronic periodontitis	63 European ancestry cases, 543 European ancestry controls, up to 32 African American cases, up to 158 African American controls, up to 4 cases, up to 66 controls	495 European ancestry cases, 981 European ancestry controls, 118 African ancestry cases, 225 African ancestry controls	19q13.32	19	47293543	C5AR1	PRR24 - C5AR1	255783	728		       17.82	       16.30	rs7254232-?	rs7254232	0	7254232	Intergenic	1	NR	3E-6	5.522878745280337		NR	NR	Illumina [473,514]	N
02/03/2015	25008200	Feng P	07/09/2014	BMC Oral Health	www.ncbi.nlm.nih.gov/pubmed/25008200	Genome wide association scan for chronic periodontitis implicates novel locus.	Chronic periodontitis	63 European ancestry cases, 543 European ancestry controls, up to 32 African American cases, up to 158 African American controls, up to 4 cases, up to 66 controls	495 European ancestry cases, 981 European ancestry controls, 118 African ancestry cases, 225 African ancestry controls	11q14.1	11	84536080	DLG2	DLG2			1740			rs10501568-?	rs10501568	0	10501568	intron	0	NR	9E-6	5.045757490560675		NR	NR	Illumina [473,514]	N
02/04/2015	25043464	Jun G	07/08/2014	Ann Neurol	www.ncbi.nlm.nih.gov/pubmed/25043464	PLXNA4 is associated with Alzheimer disease and modulates tau phosphorylation.	Alzheimer's disease	61 cases and 2,530 controls from 1,232 families	1,819 cases and 1,969 controls from 2,265 families, 9,966 European ancestry cases, 8,935 European ancestry controls, 1,459 African American cases, 3,437 African American controls, 951 Japanese ancestry cases, 894 Japanese ancestry controls	NR			NR	 - 						NR	NR					NR	NS		NS	NR	NR	Affymetrix [341,492]	N
02/05/2015	25044411	Liao SY	07/08/2014	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/25044411	Genome-wide association and network analysis of lung function in the Framingham Heart Study.	Forced expiratory volume in 1 second	2,698 European ancestry individuals	NA	4q28.3	4	138572244	Intergenic	LINC00499 - CCRN4L	100874047	25819		      147.90	      443.52	rs1450439-A	rs1450439	0	1450439	Intergenic	1	0.2373	4E-6	5.397940008672037		  67.90	[NR] unit increase	Affymetrix [300,895]	N
02/05/2015	25044411	Liao SY	07/08/2014	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/25044411	Genome-wide association and network analysis of lung function in the Framingham Heart Study.	Forced expiratory volume in 1 second	2,698 European ancestry individuals	NA	3p21.31	3	45259113	Intergenic	TMEM158 - LARS2	25907	23395		       32.79	      129.45	rs33794-A	rs33794	0	33794	Intergenic	1	0.4367	6E-6	5.221848749616356		  55.90	[NR] unit decrease	Affymetrix [300,895]	N
02/04/2015	24999842	Garner C	07/07/2014	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24999842	Genome-wide association study of celiac disease in North America confirms FRMD4B as new celiac locus.	Celiac disease	1,550 European ancestry cases, 3,084 European ancestry controls	NA	3p21.31	3	46240253	CCR3, CCR2	CCR1 - CCR3	1230	1232		       31.91	        2.13	rs13096142-?	rs13096142	0	13096142	Intergenic	1	NR	4E-8	7.397940008672037		   1.30	[1.18-1.43] 	Illumina [517,345]	N
02/04/2015	24999842	Garner C	07/07/2014	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24999842	Genome-wide association study of celiac disease in North America confirms FRMD4B as new celiac locus.	Celiac disease	1,550 European ancestry cases, 3,084 European ancestry controls	NA	4q27	4	122194347	KIAA1109, ADAD1, IL2, IL21	KIAA1109			84162			rs13151961-?	rs13151961	0	13151961	intron	0	NR	3E-11	10.52287874528034		   1.54	[1.37-1.75] 	Illumina [517,345]	N
02/04/2015	24999842	Garner C	07/07/2014	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24999842	Genome-wide association study of celiac disease in North America confirms FRMD4B as new celiac locus.	Celiac disease	1,550 European ancestry cases, 3,084 European ancestry controls	NA	6q25.3	6	159051263	TAGAP	TAGAP - FNDC1	117289	84624		        6.11	      118.13	rs212402-?	rs212402	0	212402	Intergenic	1	NR	8E-9	8.096910013008056		   1.31	[1.20-1.44] 	Illumina [517,345]	N
02/04/2015	24999842	Garner C	07/07/2014	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24999842	Genome-wide association study of celiac disease in North America confirms FRMD4B as new celiac locus.	Celiac disease	1,550 European ancestry cases, 3,084 European ancestry controls	NA	6q15	6	90170316	BACH2	BACH2			60468			rs2474619-?	rs2474619	0	2474619	intron	0	NR	2E-8	7.698970004336018		   1.28	[1.18-1.41] 	Illumina [517,345]	N
02/04/2015	24999842	Garner C	07/07/2014	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24999842	Genome-wide association study of celiac disease in North America confirms FRMD4B as new celiac locus.	Celiac disease	1,550 European ancestry cases, 3,084 European ancestry controls	NA	1q24.3	1	172894808	FASLG, TNFSF18, TNFSF4	AIMP1P2 - TNFSF18	100873064	8995		        8.55	      146.41	rs2157453-?	rs2157453	0	2157453	Intergenic	1	NR	8E-7	6.096910013008056		   1.29	[1.17–1.42] 	Illumina [517,345]	N
02/04/2015	24999842	Garner C	07/07/2014	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24999842	Genome-wide association study of celiac disease in North America confirms FRMD4B as new celiac locus.	Celiac disease	1,550 European ancestry cases, 3,084 European ancestry controls	NA	6q22.31	6	124422361	NKAIN2	NKAIN2			154215			rs531930-?	rs531930	0	531930	intron	0	NR	5E-7	6.30102999566398		   1.30	[1.17–1.44] 	Illumina [517,345]	N
02/04/2015	24999842	Garner C	07/07/2014	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24999842	Genome-wide association study of celiac disease in North America confirms FRMD4B as new celiac locus.	Celiac disease	1,550 European ancestry cases, 3,084 European ancestry controls	NA	10p15.1	10	6359663	PFKFB3, PRKCQ	DKFZp667F0711 - PRKCQ	399716	5588		        6.90	       33.93	rs4558075-?	rs4558075	0	4558075	Intergenic	1	NR	2E-7	6.698970004336019		   1.37	[1.22-1.54] 	Illumina [517,345]	N
02/04/2015	24999842	Garner C	07/07/2014	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24999842	Genome-wide association study of celiac disease in North America confirms FRMD4B as new celiac locus.	Celiac disease	1,550 European ancestry cases, 3,084 European ancestry controls	NA	17q12	17	37374139	HOXB9	ACACA;C17orf78			31;284099			rs8081319-?	rs8081319	0	8081319	intron;nearGene-5	0	NR	8E-7	6.096910013008056		   1.36	[1.20–1.54] 	Illumina [517,345]	N
02/04/2015	24993907	Smolonska J	07/03/2014	Eur Respir J	www.ncbi.nlm.nih.gov/pubmed/24993907	Common genes underlying asthma and COPD? Genome-wide analysis on the Dutch hypothesis.	Asthma or chronic obstructive pulmonary disease	920 European ancestry Asthma cases, 1,030 European ancestry Chronic obstructive pulmonary disease cases, 4,585 European ancestry controls	461 European ancestry Asthma cases, 118 European ancestry Chronic obstructive pulmonary disease cases, 656 European ancestry controls, 720 European, African American and Hispanic Asthma cases, 1,019 European, African American and Hispanic Chronic obstructive pulmonary disease cases, 19,173 European, African American and Hispanic controls, 1,106 Asthma cases, 1,806 Chronic obstructive pulmonary disease cases, 18,580 controls	2p24.3	2	15780199	DDX1, MYCN	DDX1 - RNU5E-7P	1653	100873836		      149.09	       84.74	rs2544523-T	rs2544523	0	2544523	Intergenic	1	NR	1E-6	5.999999999999999		   1.07	[NR] 	Illumina [1,811,026]	N
02/04/2015	24993907	Smolonska J	07/03/2014	Eur Respir J	www.ncbi.nlm.nih.gov/pubmed/24993907	Common genes underlying asthma and COPD? Genome-wide analysis on the Dutch hypothesis.	Asthma or chronic obstructive pulmonary disease	920 European ancestry Asthma cases, 1,030 European ancestry Chronic obstructive pulmonary disease cases, 4,585 European ancestry controls	461 European ancestry Asthma cases, 118 European ancestry Chronic obstructive pulmonary disease cases, 656 European ancestry controls, 720 European, African American and Hispanic Asthma cases, 1,019 European, African American and Hispanic Chronic obstructive pulmonary disease cases, 19,173 European, African American and Hispanic controls, 1,106 Asthma cases, 1,806 Chronic obstructive pulmonary disease cases, 18,580 controls	5q23.1	5	116261351	COMMD10	COMMD10			51397			rs10043228-T	rs10043228	0	10043228	intron	0	NR	4E-6	5.397940008672037		   1.32	[NR] 	Illumina [1,811,026]	N
02/04/2015	24993907	Smolonska J	07/03/2014	Eur Respir J	www.ncbi.nlm.nih.gov/pubmed/24993907	Common genes underlying asthma and COPD? Genome-wide analysis on the Dutch hypothesis.	Asthma or chronic obstructive pulmonary disease	920 European ancestry Asthma cases, 1,030 European ancestry Chronic obstructive pulmonary disease cases, 4,585 European ancestry controls	461 European ancestry Asthma cases, 118 European ancestry Chronic obstructive pulmonary disease cases, 656 European ancestry controls, 720 European, African American and Hispanic Asthma cases, 1,019 European, African American and Hispanic Chronic obstructive pulmonary disease cases, 19,173 European, African American and Hispanic controls, 1,106 Asthma cases, 1,806 Chronic obstructive pulmonary disease cases, 18,580 controls	13q14.2	13	47269242	GNG5P5	HTR2A-AS1 - GNG5P5	100874082	100101935		      412.94	       37.87	rs9534578-?	rs9534578	0	9534578	Intergenic	1	NR	2E-7	6.698970004336019		   1.06	[NR] 	Illumina [1,811,026]	N
02/05/2015	24943344	Ferrari R	07/01/2014	Lancet Neurol	www.ncbi.nlm.nih.gov/pubmed/24943344	Frontotemporal dementia and its subtypes: a genome-wide association study.	Frontotemporal dementia	1,377 European ancestry behavioural variant cases, 308 European ancestry Semantic dementia cases, 269 European ancestry Progressive nonfluent aphasia cases, 200 European ancestry Frontotremporal dementia with motor neuron disease cases, up to 4,308 European ancestry controls	690 European ancestry behavioural variant cases, 190 European ancestry Semantic dementia cases, 221 European ancestry Progressive nonfluent aphasia cases, 94 European ancestry Frontotremporal dementia with motor neuron disease cases, 177 European ancestry Frontotemporal lobar degeneration cases, up to 5,094 European ancestry controls	11q14.2[rs302668]; 11q14.2[rs302652]			RAB38	 - 						rs302668-T	rs302668, rs302652					0.708	2E-7		(Behavioural variant FTD)	   1.23	[1.09-1.41] 	Illumina [6,026,385] (imputed)	N
02/05/2015	24943344	Ferrari R	07/01/2014	Lancet Neurol	www.ncbi.nlm.nih.gov/pubmed/24943344	Frontotemporal dementia and its subtypes: a genome-wide association study.	Frontotemporal dementia	1,377 European ancestry behavioural variant cases, 308 European ancestry Semantic dementia cases, 269 European ancestry Progressive nonfluent aphasia cases, 200 European ancestry Frontotremporal dementia with motor neuron disease cases, up to 4,308 European ancestry controls	690 European ancestry behavioural variant cases, 190 European ancestry Semantic dementia cases, 221 European ancestry Progressive nonfluent aphasia cases, 94 European ancestry Frontotremporal dementia with motor neuron disease cases, 177 European ancestry Frontotemporal lobar degeneration cases, up to 5,094 European ancestry controls	6p21.32	6	32461942	HLA-DRA, HLA-DRB5, BTNL2	TRNAI25			100189401			rs9268856-C	rs9268856	0	9268856		0	0.748	6E-9	8.221848749616356	(All Frontotemporal dementia)	   1.24	[1.16-1.32] 	Illumina [6,026,385] (imputed)	N
01/21/2015	24978480	Real LM	06/30/2014	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24978480	A colorectal cancer susceptibility new variant at 4q26 in the Spanish population identified by genome-wide association analysis.	Colorectal cancer	480 European ancestry cases, 801 European ancestry controls	1,305 European ancestry cases, 2,049 European ancestry controls	NR			NR	 - 						NR	NR					NR	NS		NS	NR	NR	Affymetrix [178,930] 	N
01/21/2015	24978480	Real LM	06/30/2014	PLoS One	www.ncbi.nlm.nih.gov/pubmed/24978480	A colorectal cancer susceptibility new variant at 4q26 in the Spanish population identified by genome-wide association analysis.	Colorectal cancer (interaction)	480 European ancestry cases, 801 European ancestry controls	1,305 European ancestry cases, 2,049 European ancestry controls	NR			NR	 - 						NR	NR					NR	NS		NS	NR	NR	Affymetrix [178,930] 	N
01/21/2015	24980573	Song F	06/30/2014	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24980573	Identification of a melanoma susceptibility locus and somatic mutation in TET2.	Melanoma	494 European ancestry cases, 5,628 European ancestry controls	5,383 European ancestry cases, 13,033 European ancestry controls	3p21.2	3	51341843	DOCK3	DOCK3			1795			rs1031925-?	rs1031925	0	1031925	intron	0	NR	8E-6	5.096910013008055		   1.15	[1.08-1.22] 	Illumina & Affymetrix [1,579,307] (imputed)	N
01/21/2015	24980573	Song F	06/30/2014	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24980573	Identification of a melanoma susceptibility locus and somatic mutation in TET2.	Melanoma	494 European ancestry cases, 5,628 European ancestry controls	5,383 European ancestry cases, 13,033 European ancestry controls	3q26.2	3	169747154	ACTRT3	SDHDP3 - TERC	29771	7012		       36.58	       17.46	rs13097028-?	rs13097028	0	13097028	Intergenic	1	NR	7E-7	6.154901959985743		   1.12	[1.08-1.18] 	Illumina & Affymetrix [1,579,307] (imputed)	N
01/21/2015	24980573	Song F	06/30/2014	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24980573	Identification of a melanoma susceptibility locus and somatic mutation in TET2.	Melanoma	494 European ancestry cases, 5,628 European ancestry controls	5,383 European ancestry cases, 13,033 European ancestry controls	4q24	4	105218230	TET2	TET2			54790			rs4698934-?	rs4698934	0	4698934	intron	0	NR	8E-7	6.096910013008056		   1.18	[1.10-1.25] 	Illumina & Affymetrix [1,579,307] (imputed)	N
01/21/2015	24980573	Song F	06/30/2014	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24980573	Identification of a melanoma susceptibility locus and somatic mutation in TET2.	Melanoma	494 European ancestry cases, 5,628 European ancestry controls	5,383 European ancestry cases, 13,033 European ancestry controls	6q12	6	64722390	EYS	EYS			346007			rs1889497-?	rs1889497	0	1889497	intron	0	NR	2E-6	5.698970004336018		   1.15	[1.09-1.22] 	Illumina & Affymetrix [1,579,307] (imputed)	N
01/21/2015	24980573	Song F	06/30/2014	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24980573	Identification of a melanoma susceptibility locus and somatic mutation in TET2.	Melanoma	494 European ancestry cases, 5,628 European ancestry controls	5,383 European ancestry cases, 13,033 European ancestry controls	11q14.3[rs1847134]; 11q14.3[rs1126809]			TYR	 - 						rs1847134-?	rs1847134, rs1126809					NR	6E-8			   1.25	[1.15-1.35] 	Illumina & Affymetrix [1,579,307] (imputed)	N
01/21/2015	24980573	Song F	06/30/2014	Carcinogenesis	www.ncbi.nlm.nih.gov/pubmed/24980573	Identification of a melanoma susceptibility locus and somatic mutation in TET2.	Melanoma	494 European ancestry cases, 5,628 European ancestry controls	5,383 European ancestry cases, 13,033 European ancestry controls	16q24.3	16	89689495	MC1R	CDK10			8558			rs258322-A	rs258322	0	258322	intron	0	NR	2E-9	8.698970004336019		   1.50	[1.31-1.71] 	Illumina & Affymetrix [1,579,307] (imputed)	N
12/17/2014	24974847	Fachal L	06/29/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24974847	A three-stage genome-wide association study identifies a susceptibility locus for late radiotherapy toxicity at 2q24.1.	Response to radiotherapy in prostate cancer (toxicity)	Up to 652 European ancestry cases	849 European ancestry cases	2q24.2	2	159042977	TANC1, BTF3L4P2, GSTM3P2	TANC1			85461			rs7582141-T	rs7582141	0	7582141	intron	0	0.04	5E-11	10.30102999566398	(late toxicity)	    .37	[NR] unit increase	Affymetrix [552,597]	N
01/21/2015	24974787	Meng W	06/26/2014	Eur J Pain	www.ncbi.nlm.nih.gov/pubmed/24974787	A genome-wide association study suggests an association of Chr8p21.3 (GFRA2) with diabetic neuropathic pain.	Neuropathic pain in type 2 diabetes	572 European ancestry cases, 2,491 European ancestry controls	NA	8p21.3	8	21853920	GFRA2, DOK2	OR6R2P - DOK2	403294	9046		       56.02	       54.95	rs17428041-T	rs17428041	0	17428041	Intergenic	1	0.7092	2E-7	6.698970004336019		   1.49	[NR] 	Illumina & Affymetrix [6,494,962] (imputed)	N
01/21/2015	24974787	Meng W	06/26/2014	Eur J Pain	www.ncbi.nlm.nih.gov/pubmed/24974787	A genome-wide association study suggests an association of Chr8p21.3 (GFRA2) with diabetic neuropathic pain.	Neuropathic pain in type 2 diabetes	572 European ancestry cases, 2,491 European ancestry controls	NA	12p13.32	12	5284163	RP11-1038A11.3	KCNA5 - NTF3	3741	4908		      237.38	      147.95	rs11615866-T	rs11615866	0	11615866	Intergenic	1	0.12	1E-6	5.999999999999999		   2.26	[NR] 	Illumina & Affymetrix [6,494,962] (imputed)	N
01/20/2015	25009551	Kullo IJ	06/25/2014	Front Genet	www.ncbi.nlm.nih.gov/pubmed/25009551	The ATXN2-SH2B3 locus is associated with peripheral arterial disease: an electronic medical record-based genome-wide association study.	Peripheral artery disease	1,641 European ancestry cases, 1,604 European ancestry controls	740 European ancestry cases, 1,501 European ancestry controls	12q24.12	12	111569952	ATXN2, SH2B3	ATXN2			6311			rs653178-C	rs653178	0	653178	intron	0	0.469	6E-7	6.221848749616355		   1.22	[1.13-1.32] 	Illumina [537,872]	N
